RA,DEC,AKR_ID,HSC_ID,Gm,Gme,Rm,Rme,Im,Ime,Zm,Zme,Ym,Yme,N2m,N2me,N3m,N3me,N4m,N4me,S7m,S7me,S9m,S9me,S11m,S11me,L15m,L15me,L18m,L18me,L24m,L24me,sum_y,y_pred
271.19543460000006,67.66294859999999,117635,80098202312802337,20.342,0.001,20.532,0.002,20.376,0.001,20.21,0.002,20.084,0.003,18.834,0.035,18.414,0.023,19.17,0.035,,,17.016,0.048,,,,,,,,,16,1
270.9583435,67.01795200000001,122313,80098322571896838,20.947,0.001,20.729,0.001,20.833,0.002,20.627,0.003,20.363,0.003,20.289,0.119,20.099,0.068,20.044,0.058,,,18.662,0.133,,,,,,,,,21,1
271.84570310000004,67.2253571,42280,80098056283899394,21.255,0.001,20.855,0.001,20.761,0.002,20.437,0.003,20.214,0.004,18.902,0.036000000000000004,18.469,0.023,18.346,0.019,18.038,0.073,17.522000000000002,0.066,17.672,0.058,16.998,0.066,16.894000000000002,0.05,,,21,1
271.724884,67.266716,34341,80098056283906123,21.349,0.001,20.632,0.001,20.378,0.002,20.186,0.003,20.0,0.003,20.481,0.084,20.518,0.075,19.886,0.076,,,17.695999999999994,0.098,18.24,0.101,,,,,,,21,1
271.85211180000005,66.96246339999999,42297,80098047693971347,22.087,0.001,21.431,0.001,21.176,0.003,20.977,0.005,20.93,0.006999999999999999,20.414,0.113,20.212,0.095,19.293,0.057,,,,,,,,,18.424,0.209,,,21,1
271.8958435,66.9521179,117645,80098047693983052,23.34,0.005,22.886,0.006999999999999999,22.134,0.008,21.614,0.011,21.327,0.014,20.282,0.097,19.948,0.08,19.719,0.06,,,,,,,,,,,,,21,1
271.5065002,67.2795715,134184,80098193722865467,21.423,0.001,21.308000000000003,0.002,20.951,0.002,20.922,0.004,20.884,0.005,19.906,0.087,19.645,0.059,19.337,0.04,18.639,0.086,17.48,0.086,18.088,0.109,17.054000000000002,0.087,16.820999999999998,0.066,16.430999999999994,0.073,21,1
272.7268982,66.96355439999999,43807,80097772816071166,23.675,0.01,23.041,0.01,22.517,0.016,21.885,0.021,21.452,0.02,20.336,0.106,20.135,0.066,19.929,0.066,,,,,,,,,17.859,0.107,,,21,1
272.8010254,66.9688797,118352,80097772816071716,21.505,0.001,21.507,0.002,20.973000000000006,0.002,20.902,0.004,20.742,0.005,20.177,0.105,20.173,0.079,19.902,0.062,,,,,,,17.974,0.126,,,,,21,1
272.9368591,66.977417,119429,80097772816073444,22.376,0.004,21.789,0.004,21.51,0.011,21.444000000000006,0.024,21.135,0.024,20.262,0.116,20.612,0.085,20.201,0.092,,,,,,,,,,,,,12,1
